咪咕,#genre#
咪咕1,http://39.135.134.67/000000001000/3000000001000028638/index.m3u8
咪咕2,http://39.135.134.67/000000001000/3000000001000008379/index.m3u8
咪咕3,http://39.135.134.67/000000001000/3000000001000008001/index.m3u8
咪咕4,http://39.135.134.67/000000001000/3000000001000031494/index.m3u8
咪咕5,http://39.135.134.67/000000001000/3000000001000008176/index.m3u8
咪咕7,http://39.135.134.67/000000001000/3000000001000010948/index.m3u8
咪咕8,http://39.135.134.67/000000001000/3000000001000007218/index.m3u8
咪咕9,http://39.135.134.67/000000001000/3000000001000005308/index.m3u8
咪咕10,http://39.135.134.67/000000001000/3000000001000005969/index.m3u8
咪咕11,http://39.135.134.67/000000001000/3000000001000026778/index.m3u8

咪咕體育1,http://117.136.156.34:80/000000001000/3000000010000005180/index.m3u8
咪咕體育2,http://117.136.156.35:80/000000001000/3000000010000005180/index.m3u8
咪咕體育3,http://117.136.156.36:80/000000001000/3000000010000005180/index.m3u8
咪咕體育4,http://117.136.156.66:80/000000001000/3000000010000005180/index.m3u8
咪咕體育5,http://117.136.156.69:80/000000001000/3000000010000005180/index.m3u8
咪咕體育6,http://39.135.134.67/000000001000/3000000001000028638/index.m3u8
咪咕體育7,http://39.135.134.67/000000001000/3000000001000008379/index.m3u8
咪咕體育8,http://39.135.134.67/000000001000/3000000001000031494/index.m3u8
咪咕體育9,http://39.135.134.67/000000001000/3000000001000007218/index.m3u8
